Chr	Start	End	Value	Color
1	5800001	5900000	3150	1f78b4
1	5900001	6000000	5459	1f78b4
1	6000001	6100000	5732	1f78b4
1	6100001	6200000	2376	1f78b4
1	6200001	6300000	3210	1f78b4
1	6300001	6400000	8359	1f78b4
1	6400001	6500000	3364	1f78b4
1	6500001	6600000	5232	1f78b4
1	6600001	6700000	2794	1f78b4
1	6700001	6800000	2891	1f78b4
1	6800001	6900000	3049	1f78b4
1	6900001	7000000	3629	1f78b4
1	7000001	7100000	4097	1f78b4
1	7100001	7200000	2949	1f78b4
1	7200001	7300000	3962	1f78b4
1	7300001	7400000	3699	1f78b4
1	7400001	7500000	3854	1f78b4
1	7500001	7600000	2600	1f78b4
1	7600001	7700000	10136	1f78b4
1	7700001	7800000	3027	1f78b4
1	7800001	7900000	2666	1f78b4
1	7900001	8000000	2312	1f78b4
1	8000001	8100000	2829	1f78b4
1	8100001	8200000	2057	1f78b4
1	8200001	8300000	2441	1f78b4
1	8300001	8400000	1997	1f78b4
1	8400001	8500000	2002	1f78b4
1	8500001	8600000	2989	1f78b4
1	8600001	8700000	2333	1f78b4
1	8700001	8800000	4332	1f78b4
1	8800001	8900000	6029	1f78b4
1	8900001	9000000	2685	1f78b4
1	9000001	9100000	2609	1f78b4
1	9100001	9200000	2427	1f78b4
1	9200001	9300000	2327	1f78b4
1	9300001	9400000	11137	1f78b4
1	9400001	9500000	3573	1f78b4
1	9500001	9600000	3861	1f78b4
1	9600001	9700000	3240	1f78b4
1	9700001	9800000	2422	1f78b4
1	9800001	9900000	2620	1f78b4
1	9900001	10000000	2689	1f78b4
1	10000001	10100000	5384	1f78b4
1	10100001	10200000	3227	1f78b4
1	10200001	10300000	4308	1f78b4
1	10300001	10400000	4622	1f78b4
1	10400001	10500000	4320	1f78b4
1	10500001	10600000	4522	1f78b4
1	10600001	10700000	4349	1f78b4
1	10700001	10800000	7910	1f78b4
1	10800001	10900000	3101	1f78b4
1	10900001	11000000	3139	1f78b4
1	11000001	11100000	2456	1f78b4
1	11100001	11200000	6444	1f78b4
1	11200001	11300000	4160	1f78b4
1	11300001	11400000	15810	1f78b4
1	11400001	11500000	8745	1f78b4
1	11500001	11600000	7774	1f78b4
1	11600001	11700000	3291	1f78b4
1	11700001	11800000	4814	1f78b4
1	11800001	11900000	3522	1f78b4
1	11900001	12000000	3019	1f78b4
1	12000001	12100000	4619	1f78b4
1	12100001	12200000	4903	1f78b4
1	12200001	12300000	9429	1f78b4
1	12300001	12400000	6700	1f78b4
1	12400001	12500000	15352	1f78b4
1	12500001	12600000	4083	1f78b4
1	12600001	12700000	4185	1f78b4
1	12700001	12800000	2657	1f78b4
1	12800001	12900000	5980	1f78b4
1	12900001	13000000	5482	1f78b4
1	13000001	13100000	1351	1f78b4
1	13100001	13200000	22622	1f78b4
1	13200001	13300000	4566	1f78b4
1	13300001	13400000	9681	1f78b4
1	13400001	13500000	14743	1f78b4
1	13500001	13600000	6047	1f78b4
1	13600001	13700000	1493	1f78b4
1	13700001	13800000	2646	1f78b4
1	13800001	13900000	9097	1f78b4
1	13900001	14000000	6726	1f78b4
1	14000001	14100000	7916	1f78b4
1	14100001	14200000	18007	1f78b4
1	14200001	14300000	9363	1f78b4
1	14300001	14400000	2973	1f78b4
1	14400001	14500000	5654	1f78b4
1	14500001	14600000	9189	1f78b4
1	14600001	14700000	6414	1f78b4
1	14700001	14800000	5003	1f78b4
1	14800001	14900000	10685	1f78b4
1	14900001	15000000	3522	1f78b4
1	15000001	15100000	8677	1f78b4
1	15100001	15200000	5154	1f78b4
1	15200001	15300000	8313	1f78b4
1	15300001	15400000	6180	1f78b4
1	15400001	15500000	2653	1f78b4
1	15500001	15600000	6387	1f78b4
1	15600001	15700000	3282	1f78b4
1	15700001	15800000	2909	1f78b4
1	15800001	15900000	2934	1f78b4
1	15900001	16000000	4851	1f78b4
1	16000001	16100000	2976	1f78b4
1	16100001	16200000	4226	1f78b4
1	16200001	16300000	12661	1f78b4
1	16300001	16400000	2625	1f78b4
1	16400001	16500000	2829	1f78b4
1	16500001	16600000	3232	1f78b4
1	16600001	16700000	2842	1f78b4
1	16700001	16800000	1443	1f78b4
1	16800001	16900000	711	1f78b4
1	16900001	17000000	2839	1f78b4
1	17000001	17100000	3549	1f78b4
1	17100001	17200000	15271	1f78b4
1	17200001	17300000	4131	1f78b4
1	17300001	17400000	5272	1f78b4
1	17400001	17500000	2751	1f78b4
1	17500001	17600000	4391	1f78b4
1	17600001	17700000	3060	1f78b4
1	17700001	17800000	5532	1f78b4
1	17800001	17900000	13748	1f78b4
1	17900001	18000000	3282	1f78b4
1	18000001	18100000	3567	1f78b4
1	18100001	18200000	2986	1f78b4
1	18200001	18300000	5402	1f78b4
1	18300001	18400000	3058	1f78b4
1	18400001	18500000	11643	1f78b4
1	18500001	18600000	4936	1f78b4
1	18600001	18700000	19229	1f78b4
1	18700001	18800000	4435	1f78b4
1	18800001	18900000	7198	1f78b4
1	18900001	19000000	4951	1f78b4
1	19000001	19100000	5359	1f78b4
1	19100001	19200000	3235	1f78b4
1	19200001	19300000	2436	1f78b4
1	19300001	19400000	2522	1f78b4
1	19400001	19500000	3733	1f78b4
1	19500001	19600000	2172	1f78b4
1	19600001	19700000	1969	1f78b4
1	19700001	19800000	814	1f78b4
1	19800001	19900000	435	1f78b4
1	19900001	20000000	3570	1f78b4
1	20000001	20100000	3651	1f78b4
1	20100001	20200000	3000	1f78b4
1	20200001	20300000	6365	1f78b4
1	20300001	20400000	3991	1f78b4
1	20400001	20500000	9868	1f78b4
1	20500001	20600000	2093	1f78b4
1	20600001	20700000	2888	1f78b4
1	20700001	20800000	2672	1f78b4
1	20800001	20900000	2119	1f78b4
1	20900001	21000000	2928	1f78b4
1	21000001	21100000	2272	1f78b4
1	21100001	21200000	1712	1f78b4
1	21200001	21300000	3285	1f78b4
1	21300001	21400000	2232	1f78b4
1	21400001	21500000	992	1f78b4
1	21500001	21600000	164	1f78b4
1	21600001	21700000	2184	1f78b4
1	21700001	21800000	3216	1f78b4
1	21800001	21900000	11789	1f78b4
1	21900001	22000000	3569	1f78b4
1	22000001	22100000	3835	1f78b4
1	22100001	22200000	3733	1f78b4
1	22200001	22300000	11553	1f78b4
1	22300001	22400000	7033	1f78b4
1	22400001	22500000	5256	1f78b4
1	22500001	22600000	4300	1f78b4
1	22600001	22700000	3517	1f78b4
1	22700001	22800000	3753	1f78b4
1	22800001	22900000	3613	1f78b4
1	22900001	23000000	3284	1f78b4
1	23000001	23100000	9366	1f78b4
1	23100001	23200000	14111	1f78b4
1	23200001	23300000	5017	1f78b4
1	23300001	23400000	4386	1f78b4
1	23400001	23500000	8770	1f78b4
1	23500001	23600000	5250	1f78b4
1	23600001	23700000	9972	1f78b4
1	23700001	23800000	8360	1f78b4
1	23800001	23900000	5106	1f78b4
1	23900001	24000000	4840	1f78b4
1	24000001	24100000	12282	1f78b4
1	24100001	24200000	5836	1f78b4
1	24200001	24300000	2979	1f78b4
1	24300001	24400000	2877	1f78b4
1	24400001	24500000	2641	1f78b4
1	24500001	24600000	2784	1f78b4
1	24600001	24700000	3920	1f78b4
1	24700001	24800000	2994	1f78b4
1	24800001	24900000	2696	1f78b4
1	24900001	25000000	2584	1f78b4
1	25000001	25100000	4450	1f78b4
1	25100001	25200000	4633	1f78b4
1	25200001	25300000	8680	1f78b4
1	25300001	25400000	3762	1f78b4
1	25400001	25500000	2549	1f78b4
1	25500001	25600000	2057	1f78b4
1	25600001	25700000	3576	1f78b4
1	25700001	25800000	2181	1f78b4
1	25800001	25900000	2086	1f78b4
1	25900001	26000000	1801	1f78b4
1	26000001	26100000	1606	1f78b4
1	26100001	26200000	2099	1f78b4
1	26200001	26300000	2941	1f78b4
1	26300001	26400000	3903	1f78b4
1	26400001	26500000	2678	1f78b4
1	26500001	26600000	2621	1f78b4
1	26600001	26700000	3841	1f78b4
1	26700001	26800000	2309	1f78b4
1	26800001	26900000	3083	1f78b4
1	26900001	27000000	2118	1f78b4
1	27000001	27100000	2326	1f78b4
1	27100001	27200000	2438	1f78b4
1	27200001	27300000	2155	1f78b4
1	27300001	27400000	2758	1f78b4
1	27400001	27500000	4252	1f78b4
1	27500001	27600000	2300	1f78b4
1	27600001	27700000	1895	1f78b4
1	27700001	27800000	2772	1f78b4
1	27800001	27900000	7460	1f78b4
1	27900001	28000000	1890	1f78b4
1	28000001	28100000	2507	1f78b4
1	28100001	28200000	2099	1f78b4
1	28200001	28300000	1903	1f78b4
1	28300001	28400000	3987	1f78b4
1	28400001	28500000	3632	1f78b4
1	28500001	28600000	10510	1f78b4
1	28600001	28700000	3527	1f78b4
1	28700001	28800000	2155	1f78b4
1	28800001	28900000	2757	1f78b4
1	28900001	29000000	2555	1f78b4
1	29000001	29100000	3318	1f78b4
1	29100001	29200000	2385	1f78b4
1	29200001	29300000	2303	1f78b4
1	29300001	29400000	2903	1f78b4
1	29400001	29500000	2294	1f78b4
1	29500001	29600000	3040	1f78b4
1	29600001	29700000	3103	1f78b4
1	29700001	29800000	5724	1f78b4
1	29800001	29900000	5803	1f78b4
1	29900001	30000000	3495	1f78b4
1	30000001	30100000	1936	1f78b4
1	30100001	30200000	2926	1f78b4
1	30200001	30300000	2291	1f78b4
1	30300001	30400000	1709	1f78b4
1	30400001	30500000	2947	1f78b4
1	30500001	30600000	3775	1f78b4
1	30600001	30700000	11767	1f78b4
1	30700001	30800000	3721	1f78b4
1	30800001	30900000	2579	1f78b4
1	30900001	31000000	2086	1f78b4
1	31000001	31100000	2665	1f78b4
1	31100001	31200000	1953	1f78b4
1	31200001	31300000	2270	1f78b4
1	31300001	31400000	2185	1f78b4
1	31400001	31500000	2510	1f78b4
1	31500001	31600000	2926	1f78b4
1	31600001	31700000	2331	1f78b4
1	31700001	31800000	3924	1f78b4
1	31800001	31900000	2375	1f78b4
1	31900001	32000000	2435	1f78b4
1	32000001	32100000	2018	1f78b4
1	32100001	32200000	2364	1f78b4
1	32200001	32300000	2531	1f78b4
1	32300001	32400000	8332	1f78b4
1	32400001	32500000	2205	1f78b4
1	32500001	32600000	1862	1f78b4
1	32600001	32700000	1556	1f78b4
1	32700001	32800000	1669	1f78b4
1	32800001	32900000	5228	1f78b4
1	32900001	33000000	1772	1f78b4
1	33000001	33100000	2778	1f78b4
1	33100001	33200000	3184	1f78b4
1	33200001	33300000	7339	1f78b4
1	33300001	33400000	6765	1f78b4
1	33400001	33500000	4329	1f78b4
1	33500001	33600000	2790	1f78b4
1	33600001	33700000	4261	1f78b4
1	33700001	33800000	3078	1f78b4
1	33800001	33900000	4065	1f78b4
1	33900001	34000000	2427	1f78b4
1	34000001	34100000	2726	1f78b4
1	34100001	34200000	3466	1f78b4
1	34200001	34300000	5461	1f78b4
1	34300001	34400000	3006	1f78b4
1	34400001	34500000	4941	1f78b4
1	34500001	34600000	3773	1f78b4
1	34600001	34700000	2302	1f78b4
1	34700001	34800000	3105	1f78b4
1	34800001	34900000	2194	1f78b4
1	34900001	35000000	2233	1f78b4
1	35000001	35100000	3637	1f78b4
1	35100001	35200000	2517	1f78b4
1	35200001	35300000	2749	1f78b4
1	35300001	35400000	2229	1f78b4
1	35400001	35500000	1697	1f78b4
1	35500001	35600000	2071	1f78b4
1	35600001	35700000	1848	1f78b4
1	35700001	35800000	1975	1f78b4
1	35800001	35900000	1445	1f78b4
1	35900001	36000000	4859	1f78b4
1	36000001	36100000	5977	1f78b4
1	36100001	36200000	4053	1f78b4
1	36200001	36300000	2282	1f78b4
1	36300001	36400000	2740	1f78b4
1	36400001	36500000	2023	1f78b4
1	36500001	36600000	3298	1f78b4
1	36600001	36700000	1974	1f78b4
1	36700001	36800000	4031	1f78b4
1	36800001	36900000	3094	1f78b4
1	36900001	37000000	4955	1f78b4
1	37000001	37100000	1565	1f78b4
1	37100001	37200000	2199	1f78b4
1	37200001	37300000	2620	1f78b4
1	37300001	37400000	2429	1f78b4
1	37400001	37500000	2249	1f78b4
1	37500001	37600000	1642	1f78b4
1	37600001	37700000	1367	1f78b4
1	37700001	37800000	2398	1f78b4
1	37800001	37900000	2882	1f78b4
1	37900001	38000000	1461	1f78b4
1	38000001	38100000	1726	1f78b4
1	38100001	38200000	5824	1f78b4
1	38200001	38300000	2002	1f78b4
1	38300001	38400000	2049	1f78b4
1	38400001	38500000	1697	1f78b4
1	38500001	38600000	3511	1f78b4
1	38600001	38700000	2175	1f78b4
1	38700001	38800000	3433	1f78b4
1	38800001	38900000	3183	1f78b4
1	38900001	39000000	6471	1f78b4
1	39000001	39100000	2768	1f78b4
1	39100001	39200000	5732	1f78b4
1	39200001	39300000	1963	1f78b4
1	39300001	39400000	4413	1f78b4
1	39400001	39500000	2381	1f78b4
1	39500001	39600000	2299	1f78b4
1	39600001	39700000	1841	1f78b4
1	39700001	39800000	9725	1f78b4
1	39800001	39900000	2131	1f78b4
1	39900001	40000000	1695	1f78b4
1	40000001	40100000	2414	1f78b4
1	40100001	40200000	2117	1f78b4
1	40200001	40300000	4626	1f78b4
1	40300001	40400000	8941	1f78b4
1	40400001	40500000	3350	1f78b4
1	40500001	40600000	7712	1f78b4
1	40600001	40700000	2456	1f78b4
1	40700001	40800000	1750	1f78b4
1	40800001	40900000	3975	1f78b4
1	40900001	41000000	2451	1f78b4
1	41000001	41100000	2226	1f78b4
1	41100001	41200000	17901	1f78b4
1	41200001	41300000	2586	1f78b4
1	41300001	41400000	5145	1f78b4
1	41400001	41500000	2474	1f78b4
1	41500001	41600000	4906	1f78b4
1	41600001	41700000	1942	1f78b4
1	41700001	41800000	3169	1f78b4
1	41800001	41900000	3476	1f78b4
1	41900001	42000000	4842	1f78b4
1	42000001	42100000	3973	1f78b4
1	42100001	42200000	5616	1f78b4
1	42200001	42300000	2262	1f78b4
1	42300001	42400000	4159	1f78b4
1	42400001	42500000	5459	1f78b4
1	42500001	42600000	6455	1f78b4
1	42600001	42700000	2665	1f78b4
1	42700001	42800000	2510	1f78b4
1	42800001	42900000	2629	1f78b4
1	42900001	43000000	3058	1f78b4
1	43000001	43100000	3654	1f78b4
1	43100001	43200000	3552	1f78b4
1	43200001	43270923	1741	1f78b4
2	1	100000	2272	1f78b4
2	100001	200000	1962	1f78b4
2	200001	300000	2485	1f78b4
2	300001	400000	2390	1f78b4
2	400001	500000	1813	1f78b4
2	500001	600000	3186	1f78b4
2	600001	700000	7032	1f78b4
2	700001	800000	4906	1f78b4
2	800001	900000	2077	1f78b4
2	900001	1000000	4494	1f78b4
2	1000001	1100000	1935	1f78b4
2	1100001	1200000	1596	1f78b4
2	1200001	1300000	2653	1f78b4
2	1300001	1400000	2432	1f78b4
2	1400001	1500000	2015	1f78b4
2	1500001	1600000	2059	1f78b4
2	1600001	1700000	1170	1f78b4
2	1700001	1800000	2195	1f78b4
2	1800001	1900000	3846	1f78b4
2	1900001	2000000	2225	1f78b4
2	2000001	2100000	2883	1f78b4
2	2100001	2200000	3199	1f78b4
2	2200001	2300000	9117	1f78b4
2	2300001	2400000	9176	1f78b4
2	2400001	2500000	3879	1f78b4
2	2500001	2600000	3204	1f78b4
2	2600001	2700000	5038	1f78b4
2	2700001	2800000	6337	1f78b4
2	2800001	2900000	2227	1f78b4
2	2900001	3000000	3595	1f78b4
2	3000001	3100000	8526	1f78b4
2	3100001	3200000	2476	1f78b4
2	3200001	3300000	1961	1f78b4
2	3300001	3400000	3411	1f78b4
2	3400001	3500000	3352	1f78b4
2	3500001	3600000	2517	1f78b4
2	3600001	3700000	2717	1f78b4
2	3700001	3800000	1995	1f78b4
2	3800001	3900000	4606	1f78b4
2	3900001	4000000	5558	1f78b4
2	4000001	4100000	1736	1f78b4
2	4100001	4200000	2104	1f78b4
2	4200001	4300000	2970	1f78b4
2	4300001	4400000	4919	1f78b4
2	4400001	4500000	5823	1f78b4
2	4500001	4600000	4329	1f78b4
2	4600001	4700000	1378	1f78b4
2	4700001	4800000	8910	1f78b4
2	4800001	4900000	2721	1f78b4
2	4900001	5000000	3926	1f78b4
2	5000001	5100000	2915	1f78b4
2	5100001	5200000	2238	1f78b4
2	5200001	5300000	1680	1f78b4
2	5300001	5400000	1803	1f78b4
2	5400001	5500000	1902	1f78b4
2	5500001	5600000	2544	1f78b4
2	5600001	5700000	2780	1f78b4
2	5700001	5800000	2760	1f78b4
2	5800001	5900000	2018	1f78b4
2	5900001	6000000	7561	1f78b4
2	6000001	6100000	8225	1f78b4
2	6100001	6200000	5929	1f78b4
2	6200001	6300000	6627	1f78b4
2	6300001	6400000	9394	1f78b4
2	6400001	6500000	11138	1f78b4
2	6500001	6600000	4554	1f78b4
2	6600001	6700000	3081	1f78b4
2	6700001	6800000	3467	1f78b4
2	6800001	6900000	7810	1f78b4
2	6900001	7000000	4141	1f78b4
2	7000001	7100000	5213	1f78b4
2	7100001	7200000	17677	1f78b4
2	7200001	7300000	11750	1f78b4
2	7300001	7400000	3658	1f78b4
2	7400001	7500000	5902	1f78b4
2	7500001	7600000	4405	1f78b4
2	7600001	7700000	2151	1f78b4
2	7700001	7800000	4573	1f78b4
2	7800001	7900000	12206	1f78b4
2	7900001	8000000	12766	1f78b4
2	8000001	8100000	6559	1f78b4
2	8100001	8200000	4071	1f78b4
2	8200001	8300000	6253	1f78b4
2	8300001	8400000	17106	1f78b4
2	8400001	8500000	6763	1f78b4
2	8500001	8600000	3052	1f78b4
2	8600001	8700000	6267	1f78b4
2	8700001	8800000	4212	1f78b4
2	8800001	8900000	10061	1f78b4
2	8900001	9000000	3046	1f78b4
2	9000001	9100000	2794	1f78b4
2	9100001	9200000	1926	1f78b4
2	9200001	9300000	929	1f78b4
2	9300001	9400000	2160	1f78b4
2	9400001	9500000	10431	1f78b4
2	9500001	9600000	4105	1f78b4
2	9600001	9700000	4009	1f78b4
2	9700001	9800000	3940	1f78b4
2	9800001	9900000	3873	1f78b4
2	9900001	10000000	6171	1f78b4
2	10000001	10100000	7799	1f78b4
2	10100001	10200000	6004	1f78b4
2	10200001	10300000	7152	1f78b4
2	10300001	10400000	4743	1f78b4
2	10400001	10500000	4008	1f78b4
2	10500001	10600000	7905	1f78b4
2	10600001	10700000	6451	1f78b4
2	10700001	10800000	3818	1f78b4
2	10800001	10900000	7035	1f78b4
2	10900001	11000000	8574	1f78b4
2	11000001	11100000	10100	1f78b4
2	11100001	11200000	4305	1f78b4
2	11200001	11300000	15893	1f78b4
2	11300001	11400000	14136	1f78b4
2	11400001	11500000	2465	1f78b4
2	11500001	11600000	5321	1f78b4
2	11600001	11700000	2856	1f78b4
2	11700001	11800000	3089	1f78b4
2	11800001	11900000	2496	1f78b4
2	11900001	12000000	6720	1f78b4
2	12000001	12100000	2223	1f78b4
2	12100001	12200000	3587	1f78b4
2	12200001	12300000	5377	1f78b4
2	12300001	12400000	2968	1f78b4
2	12400001	12500000	2152	1f78b4
2	12500001	12600000	13244	1f78b4
2	12600001	12700000	3854	1f78b4
2	12700001	12800000	2354	1f78b4
2	12800001	12900000	2180	1f78b4
2	12900001	13000000	3327	1f78b4
2	13000001	13100000	3849	1f78b4
2	13100001	13200000	1679	1f78b4
2	13200001	13300000	3004	1f78b4
2	13300001	13400000	1916	1f78b4
2	13400001	13500000	2856	1f78b4
2	13500001	13600000	3881	1f78b4
2	13600001	13700000	7805	1f78b4
2	13700001	13800000	3874	1f78b4
2	13800001	13900000	2334	1f78b4
2	13900001	14000000	2053	1f78b4
2	14000001	14100000	4242	1f78b4
2	14100001	14200000	5430	1f78b4
2	14200001	14300000	1569	1f78b4
2	14300001	14400000	1430	1f78b4
2	14400001	14500000	2633	1f78b4
2	14500001	14600000	2090	1f78b4
2	14600001	14700000	2819	1f78b4
2	14700001	14800000	7525	1f78b4
2	14800001	14900000	4934	1f78b4
2	14900001	15000000	3381	1f78b4
2	15000001	15100000	8470	1f78b4
2	15100001	15200000	2065	1f78b4
2	15200001	15300000	1684	1f78b4
2	15300001	15400000	4974	1f78b4
2	15400001	15500000	2292	1f78b4
2	15500001	15600000	1662	1f78b4
2	15600001	15700000	2202	1f78b4
2	15700001	15800000	2478	1f78b4
2	15800001	15900000	7383	1f78b4
2	15900001	16000000	2340	1f78b4
2	16000001	16100000	15898	1f78b4
2	16100001	16200000	2868	1f78b4
2	16200001	16300000	2613	1f78b4
2	16300001	16400000	3435	1f78b4
2	16400001	16500000	3609	1f78b4
2	16500001	16600000	2581	1f78b4
2	16600001	16700000	12745	1f78b4
2	16700001	16800000	23935	1f78b4
2	16800001	16900000	4131	1f78b4
2	16900001	17000000	4196	1f78b4
2	17000001	17100000	2784	1f78b4
2	17100001	17200000	8648	1f78b4
2	17200001	17300000	4094	1f78b4
2	17300001	17400000	9203	1f78b4
2	17400001	17500000	3114	1f78b4
2	17500001	17600000	4776	1f78b4
2	17600001	17700000	1728	1f78b4
2	17700001	17800000	1707	1f78b4
2	17800001	17900000	9239	1f78b4
2	17900001	18000000	3478	1f78b4
2	18000001	18100000	7806	1f78b4
2	18100001	18200000	2530	1f78b4
2	18200001	18300000	6145	1f78b4
2	18300001	18400000	2865	1f78b4
2	18400001	18500000	9806	1f78b4
2	18500001	18600000	3271	1f78b4
2	18600001	18700000	3487	1f78b4
2	18700001	18800000	4317	1f78b4
2	18800001	18900000	3370	1f78b4
2	18900001	19000000	2407	1f78b4
2	19000001	19100000	1845	1f78b4
2	19100001	19200000	8586	1f78b4
2	19200001	19300000	5272	1f78b4
2	19300001	19400000	3159	1f78b4
2	19400001	19500000	3801	1f78b4
2	19500001	19600000	1936	1f78b4
2	19600001	19700000	3013	1f78b4
2	19700001	19800000	3514	1f78b4
2	19800001	19900000	6090	1f78b4
2	19900001	20000000	2631	1f78b4
2	20000001	20100000	3036	1f78b4
2	20100001	20200000	3938	1f78b4
2	20200001	20300000	5512	1f78b4
2	20300001	20400000	12610	1f78b4
2	20400001	20500000	6492	1f78b4
2	20500001	20600000	4134	1f78b4
2	20600001	20700000	3695	1f78b4
2	20700001	20800000	4719	1f78b4
2	20800001	20900000	3866	1f78b4
2	20900001	21000000	1868	1f78b4
2	21000001	21100000	3440	1f78b4
2	21100001	21200000	1916	1f78b4
2	21200001	21300000	7037	1f78b4
2	21300001	21400000	2512	1f78b4
2	21400001	21500000	2669	1f78b4
2	21500001	21600000	2860	1f78b4
2	21600001	21700000	8104	1f78b4
2	21700001	21800000	4061	1f78b4
2	21800001	21900000	4460	1f78b4
2	21900001	22000000	3266	1f78b4
2	22000001	22100000	5222	1f78b4
2	22100001	22200000	5905	1f78b4
2	22200001	22300000	4384	1f78b4
2	22300001	22400000	2425	1f78b4
2	22400001	22500000	3292	1f78b4
2	22500001	22600000	5915	1f78b4
2	22600001	22700000	3775	1f78b4
2	22700001	22800000	12938	1f78b4
2	22800001	22900000	2764	1f78b4
2	22900001	23000000	1657	1f78b4
2	23000001	23100000	2916	1f78b4
2	23100001	23200000	3113	1f78b4
2	23200001	23300000	4379	1f78b4
2	23300001	23400000	4195	1f78b4
2	23400001	23500000	7081	1f78b4
2	23500001	23600000	7085	1f78b4
2	23600001	23700000	3330	1f78b4
2	23700001	23800000	2785	1f78b4
2	23800001	23900000	3529	1f78b4
2	23900001	24000000	15008	1f78b4
2	24000001	24100000	5467	1f78b4
2	24100001	24200000	6084	1f78b4
2	24200001	24300000	5820	1f78b4
2	24300001	24400000	15287	1f78b4
2	24400001	24500000	11720	1f78b4
2	24500001	24600000	6551	1f78b4
2	24600001	24700000	10490	1f78b4
2	24700001	24800000	4852	1f78b4
2	24800001	24900000	9479	1f78b4
2	24900001	25000000	7440	1f78b4
2	25000001	25100000	7557	1f78b4
2	25100001	25200000	3357	1f78b4
2	25200001	25300000	3283	1f78b4
2	25300001	25400000	14938	1f78b4
2	25400001	25500000	2907	1f78b4
2	25500001	25600000	4098	1f78b4
2	25600001	25700000	2944	1f78b4
2	25700001	25800000	3095	1f78b4
2	25800001	25900000	4236	1f78b4
2	25900001	26000000	9038	1f78b4
2	26000001	26100000	4319	1f78b4
2	26100001	26200000	5490	1f78b4
2	26200001	26300000	2893	1f78b4
2	26300001	26400000	3317	1f78b4
2	26400001	26500000	2130	1f78b4
2	26500001	26600000	2734	1f78b4
2	26600001	26700000	2594	1f78b4
2	26700001	26800000	6618	1f78b4
2	26800001	26900000	2172	1f78b4
2	26900001	27000000	1738	1f78b4
2	27000001	27100000	1497	1f78b4
2	27100001	27200000	2895	1f78b4
2	27200001	27300000	2989	1f78b4
2	27300001	27400000	2109	1f78b4
2	27400001	27500000	2284	1f78b4
2	27500001	27600000	2207	1f78b4
2	27600001	27700000	2592	1f78b4
2	27700001	27800000	6246	1f78b4
2	27800001	27900000	7444	1f78b4
2	27900001	28000000	3379	1f78b4
2	28000001	28100000	5127	1f78b4
2	28100001	28200000	1995	1f78b4
2	28200001	28300000	2366	1f78b4
2	28300001	28400000	4893	1f78b4
2	28400001	28500000	7751	1f78b4
2	28500001	28600000	2371	1f78b4
2	28600001	28700000	2116	1f78b4
2	28700001	28800000	3206	1f78b4
2	28800001	28900000	3124	1f78b4
2	28900001	29000000	2575	1f78b4
2	29000001	29100000	3576	1f78b4
2	29100001	29200000	6076	1f78b4
2	29200001	29300000	1856	1f78b4
2	29300001	29400000	2847	1f78b4
2	29400001	29500000	2652	1f78b4
2	29500001	29600000	3980	1f78b4
2	29600001	29700000	7691	1f78b4
2	29700001	29800000	2589	1f78b4
2	29800001	29900000	1840	1f78b4
2	29900001	30000000	2299	1f78b4
2	30000001	30100000	1883	1f78b4
2	30100001	30200000	4029	1f78b4
2	30200001	30300000	1782	1f78b4
2	30300001	30400000	3174	1f78b4
